"id","name","age","address","email","phone_number","registration_date","created_at","updated_at","deleted_at"
"893e1553-d112-4c73-aac4-16501e64a4c3",Емельянова София Васильевна,25,"клх Курумкан, бул. Макарова, д. 54 стр. 33, 311602",mishinvitali@example.net,+71208479387,2024-11-27 15:22:11.534 +0300,2025-02-01 15:10:58.975 +0300,2025-04-11 01:41:16.067 +0300,
cec4ee7a-5508-4f94-a4c3-f8473324e00a,Смирнов Аким Алексеевич,72,"ст. Шенкурск, ул. Базарная, д. 619, 825167",fomichevaristarh@example.org,"8 (523) 575-30-27",2024-09-24 09:45:04.817 +0300,2024-07-24 15:35:25.209 +0300,2025-04-11 01:43:42.673 +0300,
c0bd4a12-83eb-4935-a439-2006edc13e2f,Петухов Агафон Егорович,69,"к. Кирово-Чепецк, алл. Невского, д. 866 к. 95, 167522",danilovsilvestr@example.com,"8 (112) 580-9360",2025-02-14 07:58:38.928 +0300,2024-05-01 13:02:42.173 +0300,2025-04-11 01:50:00.725 +0300,
b3f6b5e2-1e07-43fd-9d8f-e50ac923df1f,Дроздова Таисия Богдановна,87,"д. Курумкан, наб. Мичурина, д. 5 к. 19, 959164",evlampi_2018@example.org,"8 (512) 178-81-66",2025-02-28 00:24:07.373 +0300,2024-10-10 21:41:56.932 +0300,2025-04-11 01:50:30.845 +0300,
"83cf4d9b-d8f0-4e78-95bf-3f174249ac1d",Кондрат Артурович Савельев,19,"к. Белокуриха, пр. Карла Маркса, д. 69, 711790",tvorimir1987@example.net,"8 471 884 73 16",2024-09-21 08:06:49.119 +0300,2024-09-06 09:20:31.700 +0300,2025-04-11 01:51:26.932 +0300,
"22941fb8-5d71-4a68-a2c5-4965e70e7b65",Раиса Аркадьевна Баранова,82,"с. Ставрополь, ш. Базарное, д. 43, 432185",bespalovandron@example.net,+71562596044,2024-06-11 05:12:51.091 +0300,2024-09-29 01:15:23.499 +0300,2025-04-11 01:52:17.192 +0300,
"7bba62ce-a2a3-4180-ae1b-266202729fe8",Мария Александровна Лукина,91,"г. Новороссийка, алл. Высотная, д. 6/4 к. 9/8, 673324",lpestova@example.com,"86203897982",2024-10-26 12:51:47.348 +0300,2024-10-26 21:49:18.811 +0300,2025-04-11 01:52:44.400 +0300,
f5d25385-0f7a-42c6-9975-d4944ee05abc,Юлиан Даниилович Лихачев,47,"п. Усмань, пр. Тукая, д. 5 стр. 80, 552370",mitofan85@example.org,"8 (076) 935-56-96",2024-07-14 11:08:19.749 +0300,2025-02-09 00:05:19.829 +0300,2025-04-11 01:53:09.063 +0300,
"69a5cd5a-2bd3-431f-93cd-a751d4c8978e",Акулина Натановна Боброва,55,"к. Камень-на-Оби, наб. Подлесная, д. 9/9 стр. 3/8, 981747",kuprijan_05@example.com,"8 (189) 069-5459",2024-11-10 04:11:00.697 +0300,2024-07-05 00:58:33.114 +0300,2025-04-11 01:53:34.220 +0300,
c3711661-620e-41f4-92db-21d56b628fc8,Куликов Анатолий Ерофеевич,64,"с. Миасс, наб. Машиностроителей, д. 2/4, 117759",anna_35@example.net,+7 094 392 28 33,2024-07-26 00:24:46.315 +0300,2024-08-04 23:09:56.613 +0300,2025-04-11 01:54:06.907 +0300,
"29fca73e-a923-4f18-abcf-6ae48d65cddf",Ладислав Венедиктович Громов,76,"к. Карпинск, ш. Пирогова, д. 64 стр. 506, 604449",timofebikov@example.com,"82653376049",2024-09-21 19:49:58.686 +0300,2025-02-16 14:49:56.876 +0300,2025-04-11 01:54:44.088 +0300,
"7bc493d1-7073-4662-8867-2acba5d34d35",Прасковья Тимуровна Сафонова,86,"д. Тутончаны, ш. Ростовское, д. 782 стр. 89, 112360",karl_48@example.net,"8 366 990 5497",2024-04-26 13:53:45.969 +0300,2024-06-23 10:57:56.775 +0300,2025-04-11 01:55:06.446 +0300,
d86f23d1-2273-46ff-9708-8bb77428b367,Хохлов Павел Харламович,47,"п. Качканар, пр. Кирова, д. 13 стр. 22, 911938",solovevazinaida@example.net,"82896269766",2025-01-11 11:44:35.882 +0300,2024-08-09 10:28:03.461 +0300,2025-04-11 01:55:29.323 +0300,
ec068b62-65ee-43ad-adf3-4bdf7cb1298a,Егор Виленович Прохоров,90,"г. Онега, пер. Лесхозный, д. 57 стр. 210, 117900",mihalovvarlaam@example.net,+7 (701) 912-23-07,2024-09-26 12:35:10.511 +0300,2025-01-11 05:54:50.048 +0300,2025-04-11 01:55:51.681 +0300,
c69ef339-b197-4273-bbff-35609745230b,Лаврентий Тимурович Казаков,34,"к. Курганинск, пер. 50 лет Октября, д. 1 к. 39, 087130",ignati_2020@example.net,"88864810798",2025-04-07 11:15:14.920 +0300,2024-07-02 07:04:35.969 +0300,2025-04-11 01:56:15.753 +0300,
b9636fa4-443e-402a-8495-746c7380303f,Карп Жанович Субботин,55,"г. Печенга, алл. Гаражная, д. 198, 822015",lavrevseev@example.net,"8 172 772 9569",2024-08-19 06:14:01.806 +0300,2024-09-18 18:49:12.580 +0300,2025-04-11 01:56:38.778 +0300,
"2a63dd74-6d22-4cda-b40b-1888dfd96053",Жуков Панфил Демьянович,83,"п. Южно-Сахалинск, ул. Энтузиастов, д. 5/7 стр. 44, 186000",dmitrievizot@example.net,+74746051170,2024-08-08 14:25:47.988 +0300,2024-11-02 21:52:07.218 +0300,2025-04-11 01:57:04.202 +0300,
df268bc9-e592-43af-98e3-300e5e8e703b,Калашников Иван Харлампович,76,"п. Поронайск, пер. Курганный, д. 971 стр. 5/1, 738893",igor64@example.net,"8 (397) 569-0061",2024-08-27 12:15:25.574 +0300,2024-10-14 19:05:42.438 +0300,2025-04-11 01:57:23.924 +0300,
"1048ed16-1857-44e1-b683-2910a2244efe",Анатолий Демьянович Мартынов,19,"клх Костомукша, пр. Краснопартизанский, д. 70 стр. 88, 872671",juri_13@example.org,"8 (186) 720-91-34",2025-02-24 10:09:34.960 +0300,2025-01-14 16:41:38.975 +0300,2025-04-11 01:57:47.377 +0300,
a2026f78-edc7-40fe-91c9-21dcc2263707,Логинова Любовь Ниловна,79,"д. Усмань, наб. Краснодарская, д. 471 к. 6, 344127",markermakov@example.org,+7 209 270 83 81,2025-01-30 15:13:10.376 +0300,2024-10-16 00:54:00.219 +0300,2025-04-11 01:58:08.122 +0300,
"8f29627b-2e7f-43da-8fd6-7a8eb94fb3d2",Носова Эмилия Макаровна,80,"д. Мытищи, наб. Щорса, д. 63 к. 5, 388355",polikarprjabov@example.com,"8 406 834 8540",2024-12-24 08:55:24.877 +0300,2024-04-27 01:53:35.079 +0300,2025-04-11 01:58:29.892 +0300,
"3445595f-baa2-4514-b169-83c6823aaede",Глафира Кирилловна Максимова,33,"г. Апрелевка, бул. Раздольный, д. 2 стр. 3, 950574",ferapont93@example.org,"8 (723) 939-18-76",2024-09-20 19:53:29.468 +0300,2024-06-25 06:06:10.404 +0300,2025-04-11 01:58:51.328 +0300,
"278b3174-4dea-4c7e-86f9-26ae4775aa00",Козлова Дарья Васильевна,29,"ст. Ростов-на-Дону, наб. Л.Толстого, д. 819, 210321",komissarovruslan@example.net,+7 (862) 323-94-53,2025-01-18 02:23:03.749 +0300,2024-04-30 13:10:50.953 +0300,2025-04-11 01:59:20.429 +0300,
"7f0aa637-3199-4d31-ab6b-30580c3e3fe8",г-жа Виноградова Тамара Ивановна,33,"к. Южноуральск, пер. Курортный, д. 60 к. 1/7, 614240",ziminavksenti@example.net,+7 116 143 33 34,2024-07-17 21:40:22.243 +0300,2025-01-29 07:42:22.567 +0300,2025-04-11 01:59:39.856 +0300,
"48faf622-65d1-4df6-b271-9727fb48b186",Трофимова Октябрина Андреевна,98,"к. Лагань, пр. Шаумяна, д. 48, 456026",fedoseevbazhen@example.com,+7 338 779 8421,2024-07-24 22:14:56.471 +0300,2024-11-20 13:03:57.548 +0300,2025-04-11 02:00:00.971 +0300,
"05355258-5fc5-4b66-8052-bb37e1261f00",Соболев Кирилл Ерофеевич,96,"с. Сосновый Бор, ул. Чехова, д. 396 к. 377, 289217",tihonovilarion@example.org,+7 427 713 3670,2024-11-01 08:46:53.297 +0300,2024-04-19 19:28:15.661 +0300,2025-04-11 02:00:21.571 +0300,
"63e4c82e-7b64-409b-aef5-83398533603d",Авдеева Фёкла Богдановна,35,"д. Краснокамск, наб. Пугачева, д. 7, 340855",svetlana49@example.org,"8 439 634 0607",2024-08-16 16:06:28.585 +0300,2024-12-02 02:24:26.843 +0300,2025-04-11 02:00:46.551 +0300,
"9bd3d31d-a143-4034-b98c-5363dafb72bd",Беляев Болеслав Евсеевич,28,"к. Тихорецк, ш. Инженерное, д. 7/8 стр. 210, 897691",hariton_68@example.com,+7 (029) 146-01-12,2025-01-31 03:50:28.731 +0300,2024-09-24 11:41:53.399 +0300,2025-04-11 02:01:05.836 +0300,
"540120a0-1d4f-454d-ac45-eb0f55f946c1",г-н Соболев Максимильян Давыдович,43,"клх Кашира, ул. Береговая, д. 1 к. 2/5, 734281",semen_1998@example.com,+76837198199,2025-01-16 09:46:02.930 +0300,2024-08-03 08:35:34.988 +0300,2025-04-11 02:01:25.892 +0300,
dd7d791e-0fae-4c0c-824f-d9ecc0810316,Зуев Харлампий Антипович,25,"клх Тамбов, пер. Льва Толстого, д. 495 к. 24, 582584",agata72@example.org,+77018675260,2025-02-16 16:14:23.594 +0300,2024-08-12 01:57:21.444 +0300,2025-04-11 02:01:51.856 +0300,
f2efc24d-e898-458e-b2ef-c639bff9c867,Ирина Романовна Савина,27,"п. Великий Устюг, ул. Микрорайон, д. 35, 054435",juvenali2017@example.org,+7 731 402 2162,2025-01-03 21:59:29.495 +0300,2024-09-16 07:53:25.273 +0300,2025-04-11 02:02:15.351 +0300,
"775d0192-6139-4f4c-9804-b54535b0e441",Зиновьев Самсон Еремеевич,51,"г. Советский, пер. Карьерный, д. 3, 962284",galaktionknjazev@example.com,"8 929 331 21 17",2024-08-11 06:09:35.843 +0300,2024-12-05 20:54:46.139 +0300,2025-04-11 02:02:36.412 +0300,
"570cc6e6-368a-4548-a612-32eda8899033",Меркушев Денис Всеволодович,54,"с. Кижи, пр. Геологов, д. 31 стр. 9/9, 762526",nesterovaljubov@example.com,+7 277 212 65 64,2024-06-11 18:38:51.189 +0300,2025-03-05 11:38:52.432 +0300,2025-04-11 02:02:56.008 +0300,
"534d7e63-c5d2-4e47-bbe6-cdb2dff555b9",Зинаида Эдуардовна Цветкова,49,"ст. Уренгой, алл. Красина, д. 6/9 к. 130, 628562",igavrilova@example.net,+7 172 176 1080,2024-12-16 00:17:47.545 +0300,2024-05-27 04:08:45.383 +0300,2025-04-11 02:03:20.419 +0300,
"8f9bbf5c-df6a-4a28-8985-1953167e24c1",Никонова Юлия Ждановна,89,"п. Якутск, пр. Славянский, д. 441 стр. 77, 251668",gennadi1994@example.net,+7 918 773 6583,2025-03-30 15:40:59.451 +0300,2025-03-23 14:14:57.732 +0300,2025-04-11 02:03:46.360 +0300,
"01003c63-e245-4f92-866c-797ff543543d",Алевтина Валериевна Лукина,30,"с. Оленек, пр. Мостовой, д. 27 стр. 194, 507812",oleg2017@example.net,"8 (676) 281-2879",2024-07-31 07:25:26.621 +0300,2024-08-24 09:12:25.675 +0300,2025-04-11 02:04:07.543 +0300,
bbef1f3d-2e59-4315-86d9-b705c3057e49,Гуляева Юлия Филипповна,90,"д. Элиста, бул. Куйбышева, д. 52 к. 621, 915696",svetozar_33@example.net,+7 777 374 82 77,2024-12-06 05:06:43.269 +0300,2024-09-16 04:37:10.138 +0300,2025-04-11 02:04:30.881 +0300,
"1b9c2556-980d-4368-8853-f008f0a7a8ac",Красильникова Варвара Рудольфовна,59,"д. Октябрьский (Башк.), бул. Чайкиной, д. 8 к. 937, 111286",lora2023@example.com,"8 845 294 18 19",2024-12-05 21:17:21.387 +0300,2025-01-10 20:19:33.623 +0300,2025-04-11 02:05:27.161 +0300,
"36daf3d8-39e1-4261-b580-7384a3a0d5df",Лариса Богдановна Артемьева,91,"г. Гусь-Хрустальный, ул. Красноярская, д. 6/4, 325289",kononovvissarion@example.com,"8 269 141 1463",2024-10-25 09:43:36.680 +0300,2024-04-27 00:44:40.339 +0300,2025-04-11 02:05:53.025 +0300,
